email,classificacao
"Se eu comprar cinco anos antecipados, eu ganho algum desconto?",1
O exercício 15 do curso de Java 1 está com a resposta errada. Pode conferir pf?,2
Existe algum curso para cuidar do marketing da minha empresa?,3
"Gostaria de renovar antecipadamente meu plano, como posso fazer?",1
O vídeo não está travando as vezes no meu navegador. Como trocar o player?,2
Que trilha vocês recomendam para quem quer começar com programação?,3
Quanto custa o plano premium?,1
Como faço para postar minha dúvida no fórum?,2
"Já trabalho como designer e queria aprender mais de UX, que cursos devo fazer?",3
"Coloquei meu nome com letra maiúscula no certificado, gostaria de mudar, como posso fazer isso?",1
Onde posso acessar meu certificado?,2
Que cursos devo fazer para crescer na minha carreira de programação?,3
Se meu acesso expirar ainda tenho acesso aos meus certificados?,1
Achei um erro no vídeo de Excel. A fórmula usada foi sum com uma coluna a mais no segundo vídeo do curso aos 3 minutos.,2
Que cursos vocês indicam para meu filho de 14 anos?,3
Posso imprimir meu certificado?,1
"Bom dia, tenho interesse na parte de IOS, porem tenho a duvida sobre as vídeo aulas, devem existir exercícios, para realizar esse curso seria necessário possuir um computador mac?, ou existe algum ambiente de virtualização para que possar ser realizados esses exercícios e praticas do conteúdo?",2
Qual a carreira indicada para meu filho?,3
Gostaria de saber se vocês emitem certificado valido para todo  Brasil??? Desde já agradeço!,1
qual versão do laravel no curso,2
"Olá, quero aprender a programar, mas não sei por onde começar, e gostaria de uma ajuda para escolher o curso! Obs: só posso fazer a distancia.",3
"Comprei o plano Premium ontem mas Queria mudar do plano Premium pro plus, como faço?",1
Como faço para me tornar um moderador no Alura?,2
estou interessado em python minha duvida é se nos cursos do alura vou aprender sobre interface gráfica? já conheço um pouco mas estou almejando a pyqt pois me parece ser muito mais completa.,3
"Usei o cartão do meu pai e ele cancelou o pagamento pois eu não havia avisado, posso tentar efetuar a compra novamente?",1
Como faço para ser convidado a me tornar um moderador?,2
"Me cadastrei com o email antigo do paypal, mas gostaria de me cadastrar com um novo, poderia trocar para mim por favor?",1
Quais os passos para me tornar um desenvolvedor certificado na minha carreira de programador?,3
"Tenho o plano premiun de renovar o plano Premium plus, como faço?",1
"Quero ajudar mais a comunidade do Alura e me tornar um moderador, como posso fazer isso?",2
"Terminei a faculdade em sistemas de informação, porém não tenho muita Prática, qual curso devo optar em fazer, pretendo trabalhar com Java web inicialmente.",3
Além do paypal posso pagar com moip?,1
"Encontrei um erro de digitação em uma explicação, devo enviar por aqui ou pela ferramenta do site de envio de correção de explicação?",2
Posso efetuar o pagamento a vista via transferencia bancária?,1
"Boa noite, equipe do Alura! Senti a necessidade de aprender a programar e diante de algumas pesquisas no google me deparei com o site de vocês. Gostaria de saber se eu, que tenho perto de 0 de proximidade com a programação, serei capaz de entender, absorver e aprender realmente a lidar com as linguagens e ser capaz de programar ou se são cursos para quem já possui uma base e deseja aprender ainda mais. De qualquer forma fica aqui um depoimento de alguém que só de ver o site de vocês já sentiu mais vontade ainda de aprender. Parabéns!",3
"Usei a conta do paypal de meus pais para me cadastrar, mas gostaria de usar meu email, por favor trocar.",1
"Desde já, desejo-te um ótimo início de semana, seguinte sou do COBOL, estudei outras linguagens, mas a que mais me identifiquei foi python, gostaria de saber se a trilha do curso python vai ser desenvolvido na plataforma Windows?",2
"Gostaria de saber qual o melhor curso para eu fazer, já que não tenho nenhum conhecimento na área de programação.",3
Posso usar o cartão de meu pai para efetuar o pagamento?,1
"Trabalhando com o framework Django não ficamos dependente desse programa, pois não seria melhor criarmos nosso próprio framework para termos maior independência e maior controle sobre as aplicações?",2
"É necessário aprender html, css e javascrip em python para criar aplicações web?",3
"Estou com dificuldade para fazer o pagamento, poderia me ajudar?",1
"Gostaria de saber qual o melhor caminho para meu filho, que gosta de design mas não é fã de programação. Ele deve fazer lógica?",3