recencia,frequencia,semanas_de_inscricao,situacao
1,4,4,2
2,1,2,1
1,4,2,2
1,3,8,1
2,2,1,1
1,4,2,2
1,1,5,1
1,3,8,1
3,1,1,1
3,2,6,1
2,3,6,1
3,1,2,1
3,2,7,1
1,4,2,2
1,3,1,2
1,4,8,1
1,3,7,1
3,1,7,0
2,1,5,1
3,2,6,1
2,2,8,1
3,1,4,1
1,3,6,1
3,2,1,1
1,4,4,2
1,3,6,1
3,1,1,1
2,3,8,1
1,3,7,1
3,2,8,1
1,4,5,2
4,1,8,0
1,1,8,1
3,1,6,1
2,2,2,1
1,3,4,1
2,2,3,1
3,2,2,1
1,4,2,2
1,3,6,1
1,4,3,2
4,1,4,1
3,1,6,1
3,1,8,0
2,2,8,1
3,1,1,1
3,2,4,1
1,3,5,1
3,1,7,0
1,2,8,1
1,3,1,2
3,2,6,1
2,2,6,1
3,1,6,1
3,2,7,1
1,4,3,2
4,1,2,1
1,4,7,1
3,1,5,1
3,1,8,0
2,2,4,1
3,1,7,0
3,2,3,1
1,2,7,1
1,4,8,1
1,3,4,1
1,3,4,1
3,1,6,1
3,2,4,1
2,2,4,1
3,1,4,1
3,2,7,1
1,1,2,1
3,1,1,1
4,1,6,0
1,4,4,2
2,1,2,1
1,4,2,2
1,3,8,1
2,2,1,1
1,4,2,2
1,1,5,1
1,3,8,1
3,1,1,1
3,2,6,1
2,3,6,1
3,1,2,1
3,2,7,1
1,4,2,2
1,3,1,2
1,4,8,1
1,3,7,1
3,1,7,0
2,1,5,1
3,2,6,1
2,2,8,1
3,1,4,1
1,3,6,1
3,2,1,1
1,4,4,2
1,3,6,1
3,1,1,1
2,3,8,1
1,3,7,1
3,2,8,1
1,4,5,2
4,1,8,0
1,1,8,1
3,1,6,1
2,2,2,1
1,3,4,1
2,2,3,1
3,2,2,1
1,4,2,2
1,3,6,1
1,4,3,2
4,1,4,1
3,1,6,1
3,1,8,0
2,2,8,1
3,1,1,1
3,2,4,1
1,3,5,1
3,1,7,0
1,2,8,1
1,3,1,2
3,2,6,1
2,2,6,1
3,1,6,1
3,2,7,1
1,4,3,2
4,1,2,1
1,4,7,1
3,1,5,1
3,1,8,0
2,2,4,1
3,1,7,0
3,2,3,1
1,2,7,1
1,4,8,1
1,3,4,1
1,3,4,1
3,1,6,1
3,2,4,1
2,2,4,1
3,1,4,1
3,2,7,1
1,1,2,1
3,1,1,1
4,1,6,0
1,4,4,2
2,1,2,1
1,4,2,2
1,3,8,1
2,2,1,1
1,4,2,2
1,1,5,1
1,3,8,1
3,1,1,1
3,2,6,1
2,3,6,1
3,1,2,1
3,2,7,1
1,4,2,2
1,3,1,2
1,4,8,1
1,3,7,1
3,1,7,0
2,1,5,1
3,2,6,1
2,2,8,1
3,1,4,1
1,3,6,1
3,2,1,1
1,4,4,2
1,3,6,1
3,1,1,1
2,3,8,1
1,3,7,1
3,2,8,1
1,4,5,2
4,1,8,0
1,1,8,1
3,1,6,1
2,2,2,1
1,3,4,1
2,2,3,1
3,2,2,1
1,4,2,2
1,3,6,1
1,4,3,2
4,1,4,1
3,1,6,1
3,1,8,0
2,2,8,1
3,1,1,1
3,2,4,1
1,3,5,1
3,1,7,0
1,2,8,1
1,3,1,2
3,2,6,1
2,2,6,1
3,1,6,1
3,2,7,1
1,4,3,2
4,1,2,1
1,4,7,1
3,1,5,1
3,1,8,0
2,2,4,1
3,1,7,0
3,2,3,1
1,2,7,1
1,4,8,1
1,3,4,1
1,3,4,1
3,1,6,1
3,2,4,1
2,2,4,1
3,1,4,1
3,2,7,1
1,1,2,1
3,1,1,1
4,1,6,0